wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_a_mod_clip, d_b_mod_clip, d_c_mod_clip, d_zero, c
1.580379142669932957e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.239943065612435280e+00,-6.096809774408851190e-01,-6.302620881715504941e-01,9.351025768919929426e-01,-9.145214661613274565e-01,-9.351025768919929426e-01,9.351025768919929426e-01,-9.145214661613274565e-01,-9.351025768919929426e-01,3.048404887204423930e-01,-9.389938993899384911e-01
1.581007524038787970e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.239935354061239225e+00,-6.090023538811598636e-01,-6.309330001800794729e-01,9.354341771206593492e-01,-9.135035308217397398e-01,-9.354341771206593492e-01,9.354341771206593492e-01,-9.135035308217397398e-01,-9.354341771206593492e-01,3.045011769405798763e-01,-9.349934993499342539e-01
1.585406193620771731e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.239867664464548325e+00,-6.042452707488404906e-01,-6.356223937157082782e-01,9.377450290901283569e-01,-9.063679061232605694e-01,-9.377450290901283569e-01,9.377450290901283569e-01,-9.063679061232605694e-01,-9.377450290901283569e-01,3.021226353744200233e-01,-9.069906990699063698e-01
1.586034574989626522e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.239856036176795406e+00,-6.035647309194406285e-01,-6.362913052573546668e-01,9.380736707170750366e-01,-9.053470963791609982e-01,-9.380736707170750366e-01,9.380736707170750366e-01,-9.053470963791609982e-01,-9.380736707170750366e-01,3.017823654597203697e-01,-9.029902990299039089e-01
1.885144106564532462e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.179237824097288501e+00,-2.575818423354573339e-01,-9.216559817618312778e-01,1.050446902929560000e+00,-3.863727635031859453e-01,-1.050446902929560000e+00,1.000000000000000000e+00,-3.863727635031859453e-01,-1.000000000000000000e+00,1.287909211677286114e-01,9.987998799879971301e-01
2.053550313417630502e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.098292585524593079e+00,-5.063345698343861556e-02,-1.047659128541154505e+00,1.072975857032873792e+00,-7.595018547515790253e-02,-1.072975857032873792e+00,1.000000000000000000e+00,-7.595018547515790253e-02,-1.000000000000000000e+00,2.531672849171928696e-02,-7.330733073307449388e-02
2.054178694786485515e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.097930651633225896e+00,-4.985490401279955158e-02,-1.048075747620426323e+00,1.073003199626826110e+00,-7.478235601919933084e-02,-1.073003199626826110e+00,1.000000000000000000e+00,-7.478235601919933084e-02,-1.000000000000000000e+00,2.492745200639978620e-02,-7.730773077307873109e-02
2.199334790991954502e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.003020749431104308e+00,1.298865148539165015e-01,-1.132907264285020643e+00,1.067964006858062476e+00,1.948297722808746690e-01,-1.067964006858062476e+00,1.000000000000000000e+00,1.948297722808746690e-01,-1.000000000000000000e+00,-6.494325742695816750e-02,-9.985998599859975400e-01
2.460741440435569860e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,7.805237985683236568e-01,4.441762050119906768e-01,-1.224700003580314167e+00,1.002611901074318856e+00,6.662643075179859320e-01,-1.002611901074318856e+00,1.000000000000000000e+00,6.662643075179859320e-01,-1.000000000000000000e+00,-2.220881025059952552e-01,6.655665566556674406e-01
2.461369821804424429e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.799181826407211027e-01,4.449036047499553281e-01,-1.224821787390676153e+00,1.002369985015698628e+00,6.673554071249327979e-01,-1.002369985015698628e+00,1.000000000000000000e+00,6.673554071249327979e-01,-1.000000000000000000e+00,-2.224518023749775253e-01,6.695669566956699015e-01
2.510383568575102142e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.317504132705502373e-01,5.010769255547232737e-01,-1.232827338825273289e+00,9.822888760479118186e-01,7.516153883320848550e-01,-9.822888760479118186e-01,9.822888760479118186e-01,7.516153883320848550e-01,-9.822888760479118186e-01,-2.505384627773615258e-01,9.815981598159808641e-01
2.511011949943957156e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.311212150454639014e-01,5.017895678290885675e-01,-1.232910782874552247e+00,9.820159989600081296e-01,7.526843517436327957e-01,-9.820159989600081296e-01,9.820159989600081296e-01,7.526843517436327957e-01,-9.820159989600081296e-01,-2.508947839145441727e-01,9.855985598559851013e-01
2.513525475419376765e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.286015377031734852e-01,5.046381527317596039e-01,-1.233239690434932756e+00,9.809206140690531761e-01,7.569572290976391837e-01,-9.809206140690531761e-01,9.809206140690531761e-01,7.569572290976391837e-01,-9.809206140690531761e-01,-2.523190763658796354e-01,9.983998399839961735e-01
