wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_a_mod_clip, d_b_mod_clip, d_c_mod_clip, d_zero, c, dominant_phase_idx
1.256762737709688382e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.235074060488428493e+00,-1.746192705553700319e+00,-4.888813549347284515e-01,1.000000000000000000e+00,-2.981266766042129035e+00,-1.723955415423156889e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.235074060488428493e+00,9.991999199919980867e-01,0.000000000000000000e+00
1.486121937341706500e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.341580573368040596e+00,-1.342910343095378156e+00,-9.986702302726622182e-01,1.000000000000000000e+00,-2.684490916463418753e+00,-2.340250803640702593e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.341580573368040596e+00,-4.609460946094614542e-01,0.000000000000000000e+00
1.486750318710561292e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.341705000046357732e+00,-1.341698247902418428e+00,-1.000006752143939526e+00,1.000000000000000000e+00,-2.683403247948776382e+00,-2.341711752190297258e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.341705000046357732e+00,-4.649464946494656914e-01,0.000000000000000000e+00
1.570325040768255409e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.349999739020145029e+00,-1.175959011802637955e+00,-1.174040727217507518e+00,1.000000000000000000e+00,-2.525958750822782761e+00,-2.524040466237652325e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.349999739020145029e+00,-9.969996999699954898e-01,0.000000000000000000e+00
1.570953422137110422e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.349999971002238119e+00,-1.174680271393076181e+00,-1.175319699609162383e+00,1.000000000000000000e+00,-2.524680242395314522e+00,-2.525319670611400724e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.349999971002238119e+00,-9.989998999899984966e-01,0.000000000000000000e+00
1.654528144194804540e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.341766866643708589e+00,-1.000674865037880279e+00,-1.341092001605828976e+00,1.000000000000000000e+00,-2.342441731681589090e+00,-2.682858868249537565e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.341766866643708589e+00,-4.669466946694669218e-01,0.000000000000000000e+00
1.655156525563659553e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.341642902285757888e+00,-9.993385405335436511e-01,-1.342304361752214792e+00,1.000000000000000000e+00,-2.340981442819301428e+00,-2.683947264037972680e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.341642902285757888e+00,-4.629462946294609083e-01,0.000000000000000000e+00
1.885144106564532462e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.234845876313409807e+00,-4.881591366841329105e-01,-1.746686739629277119e+00,1.000000000000000000e+00,-1.723005012997542718e+00,-2.981532615942686704e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.234845876313409807e+00,9.987998799879971301e-01,0.000000000000000000e+00
2.093766721024340693e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.035897645148478041e+00,-1.476696119626087463e-03,-2.034420949028851844e+00,1.000000000000000000e+00,-1.037374341268104239e+00,-3.070318594177329885e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.035897645148478041e+00,-3.293329332933314646e-01,0.000000000000000000e+00
2.094395102393195707e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,2.035159698893430846e+00,1.043609643147647187e-15,-2.035159698893431734e+00,3.070319397786862581e+00,1.035159698893432845e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.035159698893431734e+00,-3.333333333333357018e-01,2.000000000000000000e+00
