wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_zero, c
7.069290399616996456e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.495018020132591330e-01,-9.832420223485552890e-01,3.337402203352959340e-01,8.163719121809072110e-01,-8.163719121809072110e-01,5.006103305029440120e-01,-1.668701101676480780e-01,4.995499549954995899e-01
9.199503240034918594e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.955715243347375454e-01,-9.224756346165866594e-01,1.269041102818489475e-01,8.590235794756621024e-01,-8.590235794756621024e-01,1.903561654227735045e-01,-6.345205514092455701e-02,-8.565856585658568889e-01
9.205787053723466506e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.959520781726716621e-01,-9.222328625416474912e-01,1.262807843689753573e-01,8.590924703571596321e-01,-8.590924703571596321e-01,1.894211765534632719e-01,-6.314039218448791457e-02,-8.605860586058602379e-01
9.425720532822662312e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.090723937762559492e-01,-9.135071157252154794e-01,1.044347219489591139e-01,8.612897547507356588e-01,-8.612897547507356588e-01,1.566520829234388790e-01,-5.221736097447976510e-02,-9.993999399939985651e-01
9.639370198233309095e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.214431732444474887e-01,-9.046075399025022001e-01,8.316436665805426731e-02,8.630253565734748999e-01,-8.630253565734748999e-01,1.247465499870816230e-01,-4.158218332902735570e-02,-8.633863386338633816e-01
9.645654011921858118e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.218013708892619729e-01,-9.043395166115721917e-01,8.253814572231010782e-02,8.630704437504170823e-01,-8.630704437504170823e-01,1.238072185834652172e-01,-4.126907286115510942e-02,-8.593859385938591444e-01
1.088984912225444912e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.861569944967229162e-01,-8.443817938064649420e-01,-4.177520069025834198e-02,8.652693941515938736e-01,-8.652693941515938736e-01,-6.266280103538732216e-02,2.088760034512898711e-02,-6.730673067306636170e-02
1.089613293594299703e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,8.864480021061202919e-01,-8.440449768908407924e-01,-4.240302521528002688e-02,8.652464894984805976e-01,-8.652464894984805976e-01,-6.360453782291977665e-02,2.120151260763974976e-02,-6.330633063306301267e-02
1.232884245693204317e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.434489041003557563e-01,-7.588274370814698244e-01,-1.846214670188862927e-01,8.511381705909127904e-01,-8.511381705909127904e-01,-2.769322005283292309e-01,9.231073350944296596e-02,8.487848784878506692e-01
1.233512627062059108e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.436570375367111518e-01,-7.584180277015657445e-01,-1.852390098351459069e-01,8.510375326191383927e-01,-8.510375326191383927e-01,-2.778585147527186106e-01,9.261950491757270365e-02,8.527852785278540182e-01
1.256762737709688382e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.510953448886929618e-01,-7.430607257675320154e-01,-2.080346191211610296e-01,8.470780353281124331e-01,-8.470780353281124331e-01,-3.120519286817414750e-01,1.040173095605804732e-01,9.991999199919980867e-01
1.281269611095027239e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.583791048840065718e-01,-7.264386545461315459e-01,-2.319404503378751092e-01,8.424088797150690588e-01,-8.424088797150690588e-01,-3.479106755068126500e-01,1.159702251689375130e-01,8.431843184318434936e-01
1.281897992463882030e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.585583177037988456e-01,-7.260066677977954352e-01,-2.325516499060036602e-01,8.422824927507971404e-01,-8.422824927507971404e-01,-3.488274748590053376e-01,1.162758249530017052e-01,8.391839183918374800e-01
1.520682912628722905e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.987445856258205801e-01,-5.427536195829736343e-01,-4.559909660428469458e-01,7.707491026043971072e-01,-7.707491026043971072e-01,-6.839864490642704187e-01,2.279954830214234729e-01,-6.809680968096820664e-01
1.521311293997577696e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.987758655969233290e-01,-5.422257400000144445e-01,-4.565501255969091066e-01,7.705008027984688868e-01,-7.705008027984688868e-01,-6.848251883953635488e-01,2.282750627984544423e-01,-6.849684968496845272e-01
1.533878921374674631e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.993186299800992378e-01,-5.316234641422331597e-01,-4.676951658378665222e-01,7.654710470611661988e-01,-7.654710470611661988e-01,-7.015427487567995612e-01,2.338475829189330391e-01,-7.649764976497657187e-01
1.534507302743529422e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.993416256221893113e-01,-5.310911322572748894e-01,-4.682504933649146994e-01,7.652163789397321558e-01,-7.652163789397321558e-01,-7.023757400473719104e-01,2.341252466824572109e-01,-7.689768976897699559e-01
1.570953422137110422e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999999876605267790e-01,-4.998639452736494126e-01,-5.001360423868775884e-01,7.500680150237022392e-01,-7.497959179104740635e-01,-7.500680150237022392e-01,2.499319726368245953e-01,-9.989998999899984966e-01
1.607399541530691423e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.993301771259759381e-01,-4.679728526995435289e-01,-5.313573244264325757e-01,7.653437507762042014e-01,-7.019592790493152101e-01,-7.653437507762042014e-01,2.339864263497716812e-01,-7.669766976697651728e-01
1.608027922899546214e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,9.993069841856992985e-01,-4.674174328072918660e-01,-5.318895513784073215e-01,7.655982677820533100e-01,-7.011261492109378546e-01,-7.655982677820533100e-01,2.337087164036459885e-01,-7.629762976297627119e-01
1.619967168907788135e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,9.987913576908282742e-01,-4.568296377846814971e-01,-5.419617199061469437e-01,7.703765387984875534e-01,-6.852444566770221623e-01,-7.703765387984875534e-01,2.284148188923406653e-01,-6.869686968696875340e-01
1.620595550276643149e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.987602749080743969e-01,-4.562705683404310597e-01,-5.424897065676435037e-01,7.706249907378589503e-01,-6.844058525106464508e-01,-7.706249907378589503e-01,2.281352841702154466e-01,-6.829682968296815204e-01
1.860008851810338593e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.584687586019008387e-01,-2.322460615851150156e-01,-7.262226970167857676e-01,8.423457278093433587e-01,-3.483690923776725512e-01,-8.423457278093433587e-01,1.161230307925575356e-01,8.411841184118422632e-01
1.860637233179193606e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.582893565589662987e-01,-2.316348161944503936e-01,-7.266545403645161549e-01,8.424719484617412268e-01,-3.474522242916754378e-01,-8.424719484617412268e-01,1.158174080972250719e-01,8.451845184518465004e-01
1.885144106564532462e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.509982452397487407e-01,-2.077272922060139915e-01,-7.432709530337349157e-01,8.471345991367418282e-01,-3.115909383090209039e-01,-8.471345991367418282e-01,1.038636461030069125e-01,9.987998799879971301e-01
1.907765835843306723e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.437609645292546201e-01,-1.855477538294930950e-01,-7.582132106997617749e-01,8.509870876145082530e-01,-2.783216307442395454e-01,-8.509870876145082530e-01,9.277387691474642262e-02,8.547854785478552486e-01
1.908394217212161736e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.435530173903219353e-01,-1.849302475547824065e-01,-7.586227698355394455e-01,8.510878936129306904e-01,-2.773953713321736236e-01,-8.510878936129306904e-01,9.246512377739124489e-02,8.507850785078492351e-01
