id_A,iq_A,psi_f_Vs_if2,psi_f_Vs_if3,psi_f_Vs_if4,psi_f_Vs_if5
-5.0,0.0,0.4589826656583968,0.6666210628200293,0.8738338317844265,1.0814722289460588
0.0,0.0,0.4664826656583968,0.6741210628200294,0.8813338317844266,1.0889722289460586
5.0,0.0,0.4739826656583968,0.6816210628200293,0.8888338317844265,1.096472228946059
10.0,0.0,0.4814826656583968,0.6891210628200294,0.8963338317844266,1.1
-30.0,5.0,0.4010890908807982,0.604747625405798,0.8076854642976311,1.011343998822631
-25.0,5.0,0.4083033765950839,0.6119619111200836,0.8148997500119167,1.0185582845369168
-20.0,5.0,0.4155176623093696,0.6191761968343693,0.8221140357262025,1.0257725702512024
-15.0,5.0,0.4227319480236553,0.626390482548655,0.8293283214404882,1.0329868559654882
-10.0,5.0,0.429946233737941,0.6336047682629408,0.8365426071547739,1.0402011416797738
-5.0,5.0,0.4371605194522268,0.6408190539772265,0.8437568928690596,1.0474154273940597
0.0,5.0,0.4443748051665124,0.6480333396915122,0.8509711785833454,1.0546297131083453
5.0,5.0,0.4515890908807982,0.655247625405798,0.8581854642976311,1.061843998822631
10.0,5.0,0.4588033765950839,0.6624619111200836,0.8653997500119167,1.0690582845369168
-30.0,10.0,0.3724272434542701,0.5706862625879753,0.7680680479364874,0.9663270670701924
-25.0,10.0,0.3793558148828415,0.5776148340165467,0.7749966193650588,0.9732556384987638
-20.0,10.0,0.3862843863114129,0.5845434054451181,0.7819251907936302,0.9801842099273352
-15.0,10.0,0.3932129577399843,0.5914719768736896,0.7888537622222017,0.9871127813559069
-10.0,10.0,0.4001415291685558,0.598400548302261,0.7957823336507731,0.994041352784478
-5.0,10.0,0.4070701005971272,0.6053291197308324,0.8027109050793445,1.0009699242130496
0.0,10.0,0.4139986720256986,0.6122576911594039,0.809639476507916,1.007898495641621
5.0,10.0,0.4209272434542701,0.6191862625879753,0.8165680479364874,1.0148270670701924
10.0,10.0,0.4278558148828414,0.6261148340165467,0.8234966193650588,1.0217556384987638
-30.0,15.0,0.340171733889262,0.5324885813643206,0.7238567720120787,0.916173619487137
-25.0,15.0,0.3468145910321192,0.5391314385071778,0.7304996291549358,0.9228164766299942
-20.0,15.0,0.3534574481749763,0.545774295650035,0.737142486297793,0.9294593337728514
-15.0,15.0,0.3601003053178335,0.552417152792892,0.7437853434406501,0.9361021909157085
-10.0,15.0,0.3667431624606906,0.5590600099357492,0.7504282005835072,0.9427450480585656
-5.0,15.0,0.3733860196035477,0.5657028670786064,0.7570710577263644,0.9493879052014228
0.0,15.0,0.3800288767464049,0.5723457242214635,0.7637139148692215,0.95603076234428
5.0,15.0,0.386671733889262,0.5789885813643206,0.7703567720120786,0.962673619487137
10.0,15.0,0.3933145910321192,0.5856314385071778,0.7769996291549358,0.9693164766299942
-30.0,20.0,0.3081639929828267,0.4949257752533305,0.6807085652128608,0.8674703474833646
-25.0,20.0,0.3145211358399696,0.5012829181104734,0.6870657080700038,0.8738274903405074
-20.0,20.0,0.3208782786971124,0.5076400609676163,0.6934228509271466,0.8801846331976504
-15.0,20.0,0.3272354215542553,0.5139972038247591,0.6997799937842895,0.8865417760547932
-10.0,20.0,0.3335925644113982,0.520354346681902,0.7061371366414323,0.8928989189119361
-5.0,20.0,0.339949707268541,0.5267114895390448,0.7124942794985751,0.8992560617690789
0.0,20.0,0.3463068501256839,0.5330686323961876,0.718851422355718,0.9056132046262216
5.0,20.0,0.3526639929828267,0.5394257752533305,0.7252085652128608,0.9119703474833648
10.0,20.0,0.3590211358399696,0.5457829181104734,0.7315657080700038,0.9183274903405076
-30.0,25.0,0.279099107930067,0.4613654082287536,0.642640225741544,0.8249065260402305
-25.0,25.0,0.2851705365014955,0.4674368368001821,0.6487116543129725,0.830977954611659
