time_s,time_ms,id_ref_A,iq_ref_A,id_A,iq_A,ud_unclipped_V,uq_unclipped_V,ud_clipped_V,uq_clipped_V,xI_d_V,xI_q_V,duty_min,duty_max,saturation_norm_V
0.006,6,-100,100,-99.91815923,99.99801713,-283.9857775,-14.66098217,-281.3285925,-14.66098217,-178.8842862,359.6235685,0.02383103599,0.894105917,1.421085472e-14
0.0061,6.1,-100,100,-99.42339428,99.90273661,-284.7798747,-13.5498558,-284.7798747,-13.5498558,-179.4332237,359.8086684,0.1038217204,0.9745082125,6.277857184e-14
0.0062,6.2,-100,100,-99.65774109,99.97222941,-284.5499965,-14.19897205,-284.5499965,-14.19897205,-179.7590595,359.861518,0.2226394018,1,2.817359626
0.0063,6.3,-100,100,-99.81886244,99.99869601,-284.2633233,-14.54092348,-281.4613974,-14.24642921,-178.768291,359.752443,0.1412993968,0.9929953838,5.783398861e-14
0.0064,6.4,-100,100,-99.34153683,99.9321222,-285.1292914,-13.56882506,-285.1292914,-13.56882506,-179.3951581,359.8816198,0.04691719953,0.9275979356,1.137423353e-13
0.0065,6.5,-100,100,-99.62502643,99.994698,-284.7383056,-14.27152435,-284.7383056,-14.27152435,-179.7521387,359.89171,0,0.8203727053,0.7812744899
0.0066,6.6,-100,100,-99.8096398,100.0122889,-284.3480335,-14.60988052,-283.5838318,-14.44744442,-179.6195528,359.8723492,0,0.8193917049,0.8823901713
0.0067,6.7,-100,100,-99.75798474,99.99896499,-284.3928756,-14.45880215,-283.5153192,-14.55103704,-179.4778997,359.7619839,0.04640785388,0.9258002339,3.197442311e-14
0.0068,6.8,-100,100,-99.69981348,99.96659345,-284.3910406,-14.24150406,-284.3910406,-14.24150406,-179.7636818,359.8255593,0.1402506619,0.9906298672,7.437400532e-14
0.0069,6.9,-100,100,-99.83446998,99.99091111,-284.1716952,-14.52794925,-284.1716952,-14.52794925,-179.921269,359.8428561,0.2237684026,1,2.657148965
0.007,7,-100,100,-99.91819435,99.99803146,-283.9857234,-14.66103969,-281.3285745,-14.66103969,-178.8843215,359.6236369,0.1058940675,0.9761688798,5.859285502e-14
0.0071,7.1,-100,100,-99.42341881,99.90274837,-284.7798414,-13.54990575,-284.7798414,-13.54990575,-179.4332357,359.8087145,0.02549178861,0.89617823,6.010809385e-14
0.0072,7.2,-100,100,-99.65775301,99.97223744,-284.549983,-14.19900076,-284.549983,-14.19900076,-179.7590601,359.8615488,0,0.7773605715,2.817359338
0.0073,7.3,-100,100,-99.81886735,99.99870155,-284.2633211,-14.54094034,-281.4613955,-14.2464461,-178.7682871,359.7524633,0.007004614801,0.8587006206,6.010809385e-14
0.0074,7.4,-100,100,-99.34153824,99.93212604,-285.1292944,-13.56883544,-285.1292944,-13.56883544,-179.3951528,359.8816328,0.07240206281,0.9530828138,5.687116766e-14
0.0075,7.5,-100,100,-99.6250262,99.99470062,-284.7383104,-14.27153088,-284.7383104,-14.27153088,-179.7521336,359.8917179,0.1796272945,1,0.7812781914
0.0076,7.6,-100,100,-99.80963895,100.0122906,-284.3480383,-14.60988469,-283.5838329,-14.44744782,-179.6195471,359.8723539,0.1806082873,1,0.8823937808
0.0077,7.7,-100,100,-99.75798302,99.99896605,-284.3928811,-14.45880347,-283.5153212,-14.55103874,-179.477894,359.7619861,0.07419975907,0.9535921552,5.859285502e-14
0.0078,7.8,-100,100,-99.69981144,99.96659398,-284.3910459,-14.24150347,-284.3910459,-14.24150347,-179.7636782,359.8255604,0.009370126255,0.8597493432,6.204547701e-14
0.0079,7.9,-100,100,-99.83446858,99.99091148,-284.171699,-14.52794926,-284.171699,-14.52794926,-179.9212666,359.8428566,0,0.7762316,2.657150649
0.008,8,-100,100,-99.91819344,99.99803169,-283.985726,-14.66103989,-281.3285753,-14.66103989,-178.8843193,359.6236368,0.02383111627,0.8941059346,2.486899575e-14
0.0081,8.1,-100,100,-99.42341789,99.90274843,-284.7798435,-13.5499052,-284.7798435,-13.5499052,-179.4332344,359.8087142,0.1038217678,0.9745082134,3.375077995e-14
0.0082,8.2,-100,100,-99.65775244,99.97223747,-284.5499844,-14.19900052,-284.5499844,-14.19900052,-179.7590593,359.8615485,0.2226394275,1,2.817359849
0.0083,8.3,-100,100,-99.81886701,99.99870156,-284.2633219,-14.54094023,-281.4613958,-14.24644594,-178.7682864,359.7524629,0.1412993791,0.9929953864,1.163751005e-13
0.0084,8.4,-100,100,-99.34153794,99.93212601,-285.129295,-13.56883516,-285.129295,-13.56883516,-179.3951524,359.8816325,0.04691718584,0.9275979379,5.687116766e-14
0.0085,8.5,-100,100,-99.62502602,99.99470059,-284.7383108,-14.27153072,-284.7383108,-14.27153072,-179.7521334,359.8917177,0,0.8203727059,0.781278295
0.0086,8.6,-100,100,-99.80963885,100.0122906,-284.3480385,-14.60988459,-283.583833,-14.4474477,-179.619547,359.8723537,0,0.8193917127,0.882393869
0.0087,8.7,-100,100,-99.75798295,99.99896603,-284.3928813,-14.45880337,-283.5153212,-14.55103864,-179.4778939,359.761986,0.04640784462,0.9258002409,2.842170943e-14
0.0088,8.8,-100,100,-99.69981138,99.96659396,-284.391046,-14.24150336,-284.391046,-14.24150336,-179.7636781,359.8255603,0.1402506567,0.9906298738,1.148054354e-13
0.0089,8.9,-100,100,-99.83446855,99.99091146,-284.171699,-14.52794919,-284.171699,-14.52794919,-179.9212666,359.8428565,0.2237684001,1,2.657150661
0.009,9,-100,100,-99.91819342,99.99803168,-283.985726,-14.66103985,-281.3285753,-14.66103985,-178.8843193,359.6236367,0.1058940654,0.9761688838,5.728578677e-14
