id_A,iq_A,psi_d_Vs_if2,psi_d_Vs_if3,psi_d_Vs_if4,psi_d_Vs_if5
-5.0,-25.0,0.2919969658598458,0.4276378158598459,0.5632786658598459,0.6944195158598458
0.0,-25.0,0.382836789290811,0.5201276392908111,0.657418489290811,0.7902093392908112
5.0,-25.0,0.4437258256442707,0.5793666756442708,0.7150075256442708,0.8461483756442707
10.0,-25.0,0.4835946515218775,0.6175855015218776,0.7515763515218775,0.8810672015218776
-30.0,-20.0,-0.4595463911801486,-0.3306402911801486,-0.2017341911801486,-0.0773280911801485
-25.0,-20.0,-0.3260787943553656,-0.1955226943553656,-0.0649665943553655,0.0610895056446344
-20.0,-20.0,-0.1581053754524257,-0.0258992754524257,0.1063068245475742,0.2340129245475742
-15.0,-20.0,0.0285668267905835,0.1624229267905835,0.2962790267905836,0.4256351267905836
-10.0,-20.0,0.1979816047626255,0.3334877047626255,0.4689938047626255,0.5999999047626257
-5.0,-20.0,0.3269803842271928,0.4641364842271928,0.6012925842271928,0.7339486842271928
0.0,-20.0,0.4173380648010151,0.5561441648010151,0.6949502648010152,0.8292563648010152
5.0,-20.0,0.477744958297332,0.614901058297332,0.752057158297332,0.884713258297332
10.0,-20.0,0.5171316413177959,0.652637741317796,0.7881438413177959,0.919149941317796
-30.0,-15.0,-0.4264660340372915,-0.2963812840372914,-0.1662965340372914,-0.0407117840372914
-25.0,-15.0,-0.2934805800696513,-0.1617458300696513,-0.0300110800696512,0.0972236699303487
-20.0,-15.0,-0.1259893040238543,0.0073954459761457,0.1407801959761457,0.2696649459761457
-15.0,-15.0,0.0602007553620121,0.1952355053620121,0.3302702553620121,0.4608050053620121
-10.0,-15.0,0.2291333904769112,0.3658181404769113,0.5025028904769113,0.6346876404769113
-5.0,-15.0,0.3576500270843357,0.4959847770843357,0.6343195270843357,0.7681542770843357
0.0,-15.0,0.4475255648010151,0.5875103148010151,0.7274950648010152,0.8629798148010153
5.0,-15.0,0.5074503154401891,0.6457850654401891,0.7841198154401892,0.9179545654401892
10.0,-15.0,0.5463548556035102,0.6830396056035103,0.8197243556035103,0.9519091056035104
-30.0,-10.0,-0.3976994524046384,-0.2667726524046384,-0.1358464024046384,-0.0094196024046383
-25.0,-10.0,-0.2651961412941411,-0.1326193412941411,-4.309129414108159e-05,0.1280337087058589
-20.0,-10.0,-0.0981870081054869,0.036039791894513,0.170266041894513,0.299992841894513
-15.0,-10.0,0.0875209084232366,0.2233977084232366,0.3592739584232366,0.4906507584232366
-10.0,-10.0,0.2559714006809929,0.3934982006809929,0.5310244506809929,0.6640512506809929
-5.0,-10.0,0.3840058944312745,0.5231826944312745,0.6623589444312745,0.7970357444312745
0.0,-10.0,0.473399289290811,0.6142260892908111,0.7550523392908111,0.8913791392908111
5.0,-10.0,0.5328418970728421,0.6720186970728422,0.8111949470728422,0.9458717470728424
10.0,-10.0,0.5712642943790205,0.7087910943790205,0.8463173443790204,0.9793441443790204
-30.0,-5.0,-0.3732466462821894,-0.2418149462821893,-0.1103832462821894,0.0165484537178106
-25.0,-5.0,-0.2412254780288349,-0.1081437780288349,0.024937921971165,0.153519621971165
-20.0,-5.0,-0.0746984876973237,0.0600332123026763,0.1947649123026763,0.3249966123026763
-15.0,-5.0,0.110527285974257,0.246908985974257,0.383290685974257,0.515172385974257
-10.0,-5.0,0.2784956353748705,0.4165273353748705,0.5545590353748704,0.6880907353748705
-5.0,-5.0,0.4060479862680091,0.5457296862680092,0.6854113862680091,0.8205930862680092
0.0,-5.0,0.4949592382704029,0.636290938270403,0.777622638270403,0.9144543382704028
5.0,-5.0,0.5539197031952912,0.6936014031952913,0.8332831031952912,0.9684648031952912
10.0,-5.0,0.5918599576443265,0.7298916576443266,0.8679233576443266,1.0014550576443266
-30.0,0.0,-0.3531076156699445,-0.2215076156699445,-0.0899076156699444,0.0371923843300554
-25.0,0.0,-0.2215685902737329,-0.0883185902737329,0.044931409726267,0.173681409726267
-20.0,0.0,-0.0555237427993645,0.0793762572006355,0.2142762572006354,0.3446762572006355
-15.0,0.0,0.1292198880150733,0.2657698880150734,0.4023198880150733,0.5343698880150733
-10.0,0.0,0.2967060945585439,0.4349060945585439,0.573106094558544,0.7068060945585439
-5.0,0.0,0.4237763025945398,0.5636263025945398,0.7034763025945399,0.8388263025945397
0.0,0.0,0.5122054117397907,0.6537054117397907,0.7952054117397906,0.9322054117397908
5.0,0.0,0.5706837338075361,0.7105337338075361,0.8503837338075362,0.985733733807536
10.0,0.0,0.6081418453994285,0.7463418453994286,0.8845418453994285,1.0182418453994286
-30.0,5.0,-0.3372823605679037,-0.2058506605679037,-0.0744189605679037,0.0525127394320963
-25.0,5.0,-0.2062254780288349,-0.0731437780288349,0.059937921971165,0.188519621971165
-20.0,5.0,-0.0406627734116094,0.0940689265883906,0.2288006265883906,0.3590323265883906
-15.0,5.0,0.1435987145456856,0.2799804145456856,0.4163621145456856,0.5482438145456856
-10.0,5.0,0.3106027782320133,0.4486344782320133,0.5866661782320134,0.7201978782320133
-5.0,5.0,0.4371908434108663,0.5768725434108664,0.7165542434108664,0.8517359434108662
0.0,5.0,0.5251378096989743,0.6664695096989743,0.8078012096989743,0.9446329096989744
5.0,5.0,0.5831339889095768,0.7228156889095769,0.8624973889095771,0.9976790889095768
10.0,5.0,0.6201099576443265,0.7581416576443266,0.8961733576443265,1.02
-30.0,10.0,-0.325770880976067,-0.1948440809760669,-0.0639178309760669,0.062508969023933
-25.0,10.0,-0.1951961412941411,-0.0626193412941411,0.0699569087058589,0.1980337087058589
-20.0,10.0,-0.0301155795340583,0.1041112204659416,0.2383374704659416,0.3680642704659416
-15.0,10.0,0.1536637655660937,0.2895405655660937,0.4254168155660938,0.5567936155660937
-10.0,10.0,0.3201856863952786,0.4577124863952786,0.5952387363952787,0.7282655363952787
-5.0,10.0,0.4462916087169887,0.5854684087169888,0.7246446587169888,0.8593214587169888
0.0,10.0,0.533756432147954,0.6745832321479539,0.8154094821479541,0.951736282147954
5.0,10.0,0.5912704685014136,0.7304472685014136,0.8696235185014137,1.004300318501414
10.0,10.0,0.6277642943790204,0.7652910943790204,0.9028173443790204,1.02
-30.0,15.0,-0.3185731768944343,-0.1884884268944343,-0.0584036768944342,0.0671810731055657
-25.0,15.0,-0.1884805800696513,-0.0567458300696512,0.0749889199303487,0.2022236699303487
-20.0,15.0,-0.0238821611667114,0.1095025888332885,0.2428873388332885,0.3717720888332886
-15.0,15.0,0.1594150410762978,0.2944497910762979,0.4294845410762978,0.5600192910762979
-10.0,15.0,0.3254548190483399,0.4621395690483398,0.5988243190483399,0.73100906904834
-5.0,15.0,0.4510785985129071,0.5894133485129072,0.7277480985129072,0.8615828485129071
0.0,15.0,0.5380612790867294,0.6780460290867294,0.8180307790867294,0.9535155290867294
5.0,15.0,0.5950931725830463,0.7334279225830462,0.8717626725830463,1.0055974225830464
10.0,15.0,0.6311048556035103,0.7677896056035103,0.9044743556035102,1.02
-30.0,20.0,-0.3156892483230057,-0.1867831483230057,-0.0578770483230057,0.0665290516769942
-25.0,20.0,-0.1860787943553656,-0.0555226943553655,0.0750334056446344,0.2010895056446344
-20.0,20.0,-0.0219625183095686,0.1102435816904314,0.2424496816904314,0.3701557816904314
-15.0,20.0,0.1608525410762978,0.2947086410762979,0.4285647410762978,0.5579208410762978
-10.0,20.0,0.326410176191197,0.461916276191197,0.597422376191197,0.728428476191197
-5.0,20.0,0.4515518127986214,0.5887079127986214,0.7258640127986213,0.8585201127986215
0.0,20.0,0.5380523505153009,0.6768584505153008,0.8156645505153008,0.9499706505153008
5.0,20.0,0.5946021011544749,0.731758201154475,0.8689143011544749,1.0015704011544748
10.0,20.0,0.6301316413177959,0.7656377413177959,0.901143841317796,1.02
-30.0,25.0,-0.3171190952617812,-0.1897282452617812,-0.0623373952617812,0.0605534547382187
-25.0,25.0,-0.1879907841512839,-0.0589499341512839,0.070090915848716,0.194631765848716
-20.0,25.0,-0.0243566509626298,0.1063341990373702,0.2370250490373701,0.3632158990373701
-15.0,25.0,0.1579762655660938,0.2903171155660938,0.4226579655660938,0.5504988155660937
-10.0,25.0,0.3230517578238501,0.4570426078238501,0.5910334578238501,0.7205243078238501
-5.0,25.0,0.4477112515741316,0.5833521015741316,0.7189929515741316,0.8501338015741317
0.0,25.0,0.5337296464336683,0.6710204964336682,0.8083113464336682,0.9411021964336684
5.0,25.0,0.5897972542156994,0.7254381042156994,0.8610789542156994,0.9922198042156994
10.0,25.0,0.6248446515218775,0.7588355015218775,0.8928263515218775,1.02
-30.0,30.0,-0.3228627177107608,-0.1973237177107608,-0.0717852677107608,0.0492537322892391
-25.0,30.0,-0.1942165494574063,-0.0670275494574064,0.0601609005425936,0.1828499005425936
-20.0,30.0,-0.0310645591258951,0.0977744408741048,0.2266128908741049,0.3509518908741049
-15.0,30.0,0.1507862145456856,0.2812752145456856,0.4117636645456856,0.5377526645456856
-10.0,30.0,0.315379563946299,0.4475185639462991,0.579657013946299,0.707296013946299
-5.0,30.0,0.4395569148394377,0.5733459148394378,0.7071343648394377,0.8364233648394377
0.0,30.0,0.5250931668418315,0.6605321668418315,0.7959706168418315,0.9269096168418316
5.0,30.0,0.5806786317667197,0.7144676317667198,0.8482560817667197,0.9775450817667198
10.0,30.0,0.6152438862157551,0.7473828862157551,0.8795213362157551,1.007160336215755
-30.0,35.0,-0.3329201156699445,-0.2095701156699445,-0.0862201156699445,0.0326298843300555
-25.0,35.0,-0.2047560902737329,-0.0797560902737329,0.045243909726267,0.165743909726267
-20.0,35.0,-0.0420862427993645,0.0845637572006355,0.2112137572006354,0.3333637572006355
-15.0,35.0,0.1392823880150733,0.2675823880150734,0.3958823880150733,0.5196823880150734
-10.0,35.0,0.303393594558544,0.4333435945585439,0.563293594558544,0.688743594558544
-5.0,35.0,0.4270888025945398,0.5586888025945398,0.6902888025945397,0.8173888025945398
0.0,35.0,0.5121429117397907,0.6453929117397907,0.7786429117397906,0.9073929117397906
5.0,35.0,0.5672462338075361,0.6988462338075361,0.830446233807536,0.957546233807536
10.0,35.0,0.6013293453994285,0.7312793453994286,0.8612293453994286,0.9866793453994286
