id_A,iq_A,Ldq_mH_if2,Ldq_mH_if3,Ldq_mH_if4,Ldq_mH_if5
-20.0,-20.0,5.5,5.989800000000001,6.479600000000002,6.969400000000003
-15.0,-20.0,5.5,5.989800000000001,6.479600000000008,6.969400000000003
-10.0,-20.0,5.5,5.989800000000001,6.479600000000008,6.969400000000015
-5.0,-20.0,5.499799999999999,5.989800000000001,6.479600000000008,6.969400000000015
0.0,-20.0,5.5,5.989800000000001,6.479600000000008,6.969399999999992
5.0,-20.0,5.499999436226491,5.989797694058249,6.479593982512882,6.969399820522027
10.0,-20.0,5.499980091276312,5.989789986456232,6.4795729080405815,6.969401801044802
-30.0,-15.0,5.000016988045947,5.367282081207335,5.734638968705603,6.102039483678371
-25.0,-15.0,5.000001788297604,5.367228134332072,5.73477530233561,6.102057239835259
-20.0,-15.0,4.999999999999999,5.3672,5.734599999999995,6.101999999999997
-15.0,-15.0,5.0,5.3672,5.73459999999999,6.102000000000007
-10.0,-15.0,5.0,5.3672,5.734600000000001,6.101999999999985
-5.0,-15.0,4.999999999999999,5.367200000000005,5.73459999999999,6.101999999999985
0.0,-15.0,4.999999999999999,5.367199999999994,5.73459999999999,6.102000000000007
5.0,-15.0,4.999990715005152,5.367228134332076,5.734615619690973,6.102038404046546
10.0,-15.0,4.999981149784603,5.367282081207328,5.734640238127087,6.102041035960089
-30.0,-10.0,4.500018580414054,4.744934526216869,4.989785215644434,5.23468346996876
-25.0,-10.0,4.500002204792834,4.744978691358709,4.9897966658521975,5.234681974073354
-20.0,-10.0,4.500000000000002,4.744999999999999,4.9898,5.2346
-15.0,-10.0,4.5,4.744999999999999,4.9898,5.2346
-10.0,-10.0,4.5,4.7450000000000045,4.9898,5.2346
-5.0,-10.0,4.500199999999999,4.744999999999999,4.9898,5.2346
0.0,-10.0,4.499999999999999,4.744999999999999,4.9898,5.2346
5.0,-10.0,4.499997218519034,4.744978691358707,4.989797190178465,5.234682750214213
10.0,-10.0,4.499967305364989,4.744934526216865,4.989787312949503,5.2346845048232415
-30.0,-5.0,4.000029954914647,4.12242720473203,4.244851683352221,4.367350879239331
-25.0,-5.0,4.000002649440154,4.122409326220552,4.244818084561024,4.367350131291629
-20.0,-5.0,3.9999999999999982,4.122400000000001,4.244800000000004,4.367399999999999
-15.0,-5.0,4.0,4.122400000000003,4.244800000000004,4.367399999999999
-10.0,-5.0,4.000000000000001,4.122399999999993,4.244799999999993,4.367399999999999
-5.0,-5.0,4.000000000000004,4.122400000000003,4.244800000000004,4.367399999999999
0.0,-5.0,4.000000000000004,4.122400000000003,4.244800000000004,4.367399999999999
5.0,-5.0,3.999997103112965,4.122409326220555,4.244818705473714,4.36735051936206
10.0,-5.0,3.9999773528921687,4.122427204732023,4.244854167002958,4.367351396666575
-30.0,0.0,3.5000206206315423,3.5000000000000018,3.499998406324109,3.499999999999993
-25.0,0.0,3.500033246075662,3.5,3.4999995699604765,3.499999999999993
-20.0,0.0,3.5000000000000004,3.5000000000000004,3.500000000000003,3.500000000000003
-15.0,0.0,3.5000000000000004,3.4999999999999973,3.500000000000003,3.499999999999992
-10.0,0.0,3.5001999999999978,3.500000000000003,3.500000000000003,3.500000000000014
-5.0,0.0,3.4999999999999973,3.499999999999992,3.500000000000014,3.500000000000014
0.0,0.0,3.4999999999999973,3.500000000000003,3.499999999999992,3.499999999999992
5.0,0.0,3.499997411782413,3.499999999999994,3.500000177075092,3.500000000000012
10.0,0.0,3.499978061729576,3.500000000000005,3.500000834782605,3.499999999999997
-30.0,5.0,3.0000199964778305,2.877572795267974,2.755145419055252,2.6326491207606577
-25.0,5.0,2.999993088350383,2.8775906737794497,2.755181133548925,2.632649868708364
-20.0,5.0,3.0000000000000013,2.8775999999999966,2.755200000000002,2.632600000000007
-15.0,5.0,2.999999999999999,2.8776000000000024,2.755200000000002,2.632600000000007
-10.0,5.0,2.9998000000000027,2.8776000000000024,2.755199999999991,2.632599999999985
-5.0,5.0,3.0000000000000027,2.8776000000000024,2.75519999999998,2.632599999999985
0.0,5.0,3.0000000000000027,2.877599999999992,2.755200000000002,2.632600000000007
5.0,5.0,2.999997965860229,2.8775906737794417,2.755181616481017,2.6326494806379364
10.0,5.0,2.9999797940873365,2.877572795267968,2.755147350783603,2.632648603333427
-30.0,10.0,2.5000175614804143,2.2550654737831337,2.0102127560407927,1.7653165300312283
-25.0,10.0,2.50000236562278,2.255021308641292,2.0102027868247694,1.7653180259266383
-20.0,10.0,2.5,2.255000000000001,2.010199999999996,1.7653999999999836
-15.0,10.0,2.500000000000001,2.254999999999996,2.010199999999996,1.7653999999999836
-10.0,10.0,2.5001999999999995,2.254999999999996,2.0102000000000064,1.765400000000006
-5.0,10.0,2.4999999999999964,2.255000000000007,2.0102000000000064,1.765400000000006
0.0,10.0,2.500000000000002,2.255000000000007,2.0102000000000064,1.765400000000006
5.0,10.0,2.4999985866791987,2.2550213086412985,2.010203035189848,1.765317249785786
10.0,10.0,2.4999820139638973,2.2550654737831346,2.010213749501092,1.7653154951767602
-30.0,15.0,2.0000127796377525,1.6327179187926697,1.265360451775889,0.8979405163216198
-25.0,15.0,2.000001136206614,1.632771865667929,1.2652245412863807,0.8979627601647331
-20.0,15.0,2.0,1.632800000000001,1.2651999999999997,0.898000000000021
-15.0,15.0,1.9999999999999991,1.632800000000001,1.2654000000000054,0.898000000000021
-10.0,15.0,1.9998000000000016,1.632800000000001,1.2653999999999943,0.8979999999999988
-5.0,15.0,1.9998000000000016,1.6327999999999898,1.2653999999999943,0.8979999999999988
0.0,15.0,1.999799999999996,1.632800000000001,1.2653999999999943,0.8979999999999988
5.0,15.0,1.9999990955721496,1.6327718656679382,1.2653844446999585,0.8979615959534506
10.0,15.0,1.999956278036588,1.6327179187926626,1.2653600654302164,0.8979589640399116
-30.0,20.0,1.4999876724224366,1.0102100135437675,0.5204285407556856,0.0306193681417373
-25.0,20.0,1.4999990416066131,1.0102023059417522,0.5204488379446603,0.030600524429459
-20.0,20.0,1.5000000000000002,1.0102,0.5206000000000044,0.0305999999999917
-15.0,20.0,1.500000000000001,1.0102000000000055,0.5203999999999986,0.0305999999999917
-10.0,20.0,1.4999999999999958,1.0102000000000055,0.5203999999999986,0.0305999999999917
-5.0,20.0,1.5002000000000015,1.0102000000000055,0.5203999999999986,0.0306000000000139
0.0,20.0,1.500199999999996,1.0101999999999944,0.5203999999999986,0.0305999999999917
5.0,20.0,1.4999993138718994,1.0102023059417384,0.5204058565097595,0.0306001794779586
10.0,20.0,1.4999986584008858,1.0102100135437666,0.520426333066138,0.0305981989551906
-30.0,25.0,0.9999940314104828,0.3877016412836162,-0.2245029425246738,-0.8367686259985088
-25.0,25.0,0.9999959031556062,0.3876325905451584,-0.2245716002395572,-0.8367648862599874
-20.0,25.0,0.9999999999999998,0.387599999999999,-0.2246000000000081,-0.8367999999999931
-15.0,25.0,0.999999999999998,0.387599999999999,-0.2246000000000081,-0.8367999999999931
-10.0,25.0,1.0000000000000009,0.387599999999999,-0.224599999999997,-0.8367999999999931
-5.0,25.0,1.0000000000000009,0.387599999999999,-0.224599999999997,-0.8368000000000153
0.0,25.0,1.0000000000000009,0.387599999999999,-0.224599999999997,-0.8367999999999931
5.0,25.0,0.9999990629112652,0.387632590545158,-0.2245727178823804,-0.8367668266121264
10.0,25.0,0.9999862386909524,0.3877016412836118,-0.2245074130960003,-0.836771213134693
-30.0,30.0,0.499988489534178,-0.2346473147405969,-0.9693539635700305,-1.7041451775892067
-25.0,30.0,0.4999915421864034,-0.2346173194394535,-0.9693894732303224,-1.7041406899029814
-20.0,30.0,0.4999920340529029,-0.2346184250532094,-0.9693930005804468,-1.704137595290085
-15.0,30.0,0.4999937435686836,-0.2346190884214661,-0.9693952365737026,-1.70413589375052
-10.0,30.0,0.4999959410286677,-0.2346193095442167,-0.9693961812100852,-1.7041355852842843
-5.0,30.0,0.4999978967277775,-0.234619088421457,-0.969395834489612,-1.7041366698913778
0.0,30.0,0.4999988809609357,-0.234618425053205,-0.9693941964122924,-1.7041391475718006
5.0,30.0,0.4999981640230647,-0.2346173194394517,-0.9693912669780728,-1.7041430183255517
10.0,30.0,0.4999850486272605,-0.2346473147406004,-0.969361138561056,-1.7041482821526324
-30.0,35.0,-0.0001008043245326,-0.8571354569225274,-1.7142044878852474,-2.571471998120453
-25.0,35.0,-2.398985678786342e-05,-0.8571435831836189,-1.714221597125419,-2.571466762486529
-20.0,35.0,-1.850848282623029e-05,-0.8571493876558242,-1.714251279924827,-2.5714631521048146
-15.0,35.0,-8.7643875496322e-05,-0.8571528703391502,-1.7142633845379975,-2.5714611669753222
-10.0,35.0,5.3202923502701376e-06,-0.8571540312335911,-1.7142458063517991,-2.571460807098036
-5.0,35.0,-6.289965213298468e-05,-0.8571528703391553,-1.7142448365958645,-2.5714620724729955
0.0,35.0,-5.558738179429503e-05,-0.8571493876558275,-1.7142393470908377,-2.571464963100156
5.0,35.0,-5.602656948898962e-05,-0.8571435831836228,-1.7142440067553235,-2.5714694789795214
10.0,35.0,-6.750088805444083e-05,-0.8571354569225423,-1.714222213250808,-2.571475620111126
